linenum,price,lat,lng,location,flatBuildingtype,flatFloorCount,numberOfRooms,buildingFloorPosition,livingArea,url,bathrooms with toilet,toilets
36,106.020 €,45.91377092714,16.86087955783,Bjelovar,U stambenoj zgradi,Jednoetažni,3-sobni,Prizemlje,55,https://www.njuskalo.hr/nekretnine/stan-prodaja-bjelovar-55.8m2-oglas-42070243,1,
37,142.650 €,45.91551355547,16.864571600506,Bjelovar,U stambenoj zgradi,Jednoetažni,3-sobni,Prizemlje,84,https://www.njuskalo.hr/nekretnine/bjelovar-sjever-stan-izgradnji-84.16-m2-oglas-41578212,1,1
38,122.300 €,45.91551355547,16.864571600506,Bjelovar,U stambenoj zgradi,Jednoetažni,2-sobni,Prizemlje,72,https://www.njuskalo.hr/nekretnine/bjelovar-sjever-stan-izgradnji-72.04-m2-oglas-41578211,1,
39,144.400 €,45.91551355547,16.864571600506,Bjelovar,U stambenoj zgradi,Jednoetažni,3-sobni,1.,87,https://www.njuskalo.hr/nekretnine/bjelovar-sjever-stan-izgradnji-87.23-m2-oglas-41578210,1,1
40,120.100 €,45.91551355547,16.864571600506,Bjelovar,U stambenoj zgradi,Jednoetažni,2-sobni,1.,72,https://www.njuskalo.hr/nekretnine/bjelovar-sjever-stan-izgradnji-72.04-m2-oglas-41578209,1,
41,160.000 €,,,Bjelovar,U kući,Dvoetažni,3-sobni,Prizemlje,140,https://www.njuskalo.hr/nekretnine/stan-prodaja-bjelovar-160m2-oglas-41109378,,
42,150.000 €,45.915740007352,16.86027560105,Bjelovar,U stambenoj zgradi,Jednoetažni,2-sobni,Visoko potkrovlje,89,https://www.njuskalo.hr/nekretnine/trosobni-dvoetazni-stan-potkrovlju-oglas-38350887,2,
43,190.000 €,45.9105502,16.8518444,Bjelovar,U stambenoj zgradi,Dvoetažni,2-sobni,Suteren,143,https://www.njuskalo.hr/nekretnine/bjelovar-sjever-stan-prizemlju-143.89-m2-oglas-37395643,2,
44,116.750 €,45.9105502,16.8518444,Bjelovar,U stambenoj zgradi,Jednoetažni,2-sobni,1.,75,https://www.njuskalo.hr/nekretnine/bjelovar-sjever-stan-kat-75.32-m2-oglas-37395642,1,
45,189.720 €,,,Bjelovar,U stambenoj zgradi,Dvoetažni,3-sobni,Prizemlje,94,https://www.njuskalo.hr/nekretnine/bjelovar-sjever-cetverosobni-stan-oglas-34563643,1,1
46,189.720 €,,,Bjelovar,U stambenoj zgradi,Dvoetažni,3-sobni,Prizemlje,94,https://www.njuskalo.hr/nekretnine/bjelovar-sjever-cetverosobni-stan-oglas-34563642,1,1
47,99.000 €,45.9105502,16.8518444,Bjelovar,U stambenoj zgradi,Jednoetažni,2-sobni,1.,67,https://www.njuskalo.hr/nekretnine/bjelovar-sjever-stan-kat-67.45-m2-oglas-37395641,1,
48,89.000 €,45.9004397,16.843799,Bjelovar,U stambenoj zgradi,Jednoetažni,1-sobni,1.,51,https://www.njuskalo.hr/nekretnine/bjelovar-centar-stan-51.90-m2-adaptaciju-oglas-41090686,1,
49,62.000 €,,,Bjelovar,U kući,Jednoetažni,2-sobni,Prizemlje,80,https://www.njuskalo.hr/nekretnine/bjelovar-stan-prizemlju-kuce-80.47-m2-oglas-40914080,1,
50,148.680 €,45.8961567,16.843072,Bjelovar,U stambenoj zgradi,Jednoetažni,2-sobni,1.,74,https://www.njuskalo.hr/nekretnine/bjelovar-centar-stan-1-kat-74.34-m2-oglas-39908869,1,
51,145.000 €,45.9133979,16.8636019,Bjelovar,U kući,Dvoetažni,3-sobni,Prizemlje,135,https://www.njuskalo.hr/nekretnine/bjelovar-sjever-stan-kuci-135.73-m2-oglas-39058050,2,
52,100 €,45.8997674,16.8389858,Bjelovar,U stambenoj zgradi,Jednoetažni,3-sobni,1.,86,https://www.njuskalo.hr/nekretnine/bjelovar-centar-novouredeni-stan-71.14-m2-oglas-35995990,1,
53,294.424 €,45.886848891179,16.859687406748,Bjelovar,U stambenoj zgradi,Dvoetažni,4-sobni,,113,https://www.njuskalo.hr/nekretnine/stanovi-izgradnji-kuce-nizu-113.24m2-bjelovar-vidikovac-oglas-42042966,2,1
54,212.318 €,45.886848891179,16.859687406748,Bjelovar,U stambenoj zgradi,Dvoetažni,3-sobni,,103,https://www.njuskalo.hr/nekretnine/stanovi-izgradnji-kuce-nizu-103.57m2-bjelovar-vidikovac-oglas-42042914,2,1
55,220.176 €,45.886848891179,16.859687406748,Bjelovar,U stambenoj zgradi,Dvoetažni,4-sobni,,100,https://www.njuskalo.hr/nekretnine/stanovi-izgradnji-kuce-nizu-100.08m2-bjelovar-vidikovac-oglas-42042867,2,1
56,120.000 €,45.898028957711,16.842328470525,Bjelovar,U stambenoj zgradi,Jednoetažni,3-sobni,1.,56,https://www.njuskalo.hr/nekretnine/bjelovar-trosobni-stan-strogom-centru-oglas-40919266,,
57,86.000 €,45.5759,16.941841,Garešnica,U stambenoj zgradi,Jednoetažni,2-sobni,4.,72,https://www.njuskalo.hr/nekretnine/stan-centru-garesnica-72.00-m2-oglas-41768021,1,
