linenum,price,lat,lng,location,flatBuildingtype,flatFloorCount,numberOfRooms,buildingFloorPosition,livingArea,url,bathrooms with toilet,toilets
1668,546.000 €,45.828207588671,15.953003207881,Črnomerec,U stambenoj zgradi,Jednoetažni,4-sobni,Visoko prizemlje,130,https://www.njuskalo.hr/nekretnine/zagreb-jelenovac-stan-okruzen-prirodom-novogradnja-oglas-38915162,2,
1669,351.210 €,45.784974854926,15.924791296908,Trešnjevka - Jug,U stambenoj zgradi,Jednoetažni,3-sobni,Prizemlje,76,https://www.njuskalo.hr/nekretnine/zagreb-jarun-novogradnja-stan-balkonom-oglas-38686127,1,
1670,594.596 €,45.782744747263,15.924339488718,Trešnjevka - Jug,U stambenoj zgradi,Jednoetažni,4-sobni,Prizemlje,110,https://www.njuskalo.hr/nekretnine/zagreb-jarun-novogradnja-penthouse-oglas-38686126,2,1
1671,514.924 €,45.783530695615,15.923848444022,Trešnjevka - Jug,U stambenoj zgradi,Jednoetažni,4-sobni,Prizemlje,112,https://www.njuskalo.hr/nekretnine/zagreb-jarun-novogradnja-stan-vrtom-oglas-38662424,2,1
1672,800.000 €,45.827776185133,15.970498341381,Gornji Grad - Medveščak,U stambenoj zgradi,Jednoetažni,5+ sobni,1.,182,https://www.njuskalo.hr/nekretnine/zagreb-tuskanac-stan-180m2-terasom-vrtom-garazom-oglas-33488957,1,1
1673,408.000 €,45.799053785911,16.002806019748,Trnje,U stambenoj zgradi,Jednoetažni,5+ sobni,1.,102,https://www.njuskalo.hr/nekretnine/zagreb-sigecica-novogradnja-stan-102m2-balkonom-parkingom-oglas-40393944,2,1
1674,750.000 €,45.825697385409,15.962732333364,Gornji Grad - Medveščak,U kući,Dvoetažni,5+ sobni,Prizemlje,160,https://www.njuskalo.hr/nekretnine/zagreb-britanski-trg-prostran-stan-velikim-vrtom-oglas-40156483,1,1
1675,300.000 €,45.807971562512,15.9827687369,Donji Grad,U stambenoj zgradi,Dvoetažni,3-sobni,2.,141,https://www.njuskalo.hr/nekretnine/zagreb-centar-dvoetazni-tan-strogom-centru-okruzen-zelenilom-oglas-39237299,2,
1676,880.000 €,45.828321338501,15.992145257255,Maksimir,U stambenoj zgradi,Jednoetažni,4-sobni,1.,207,https://www.njuskalo.hr/nekretnine/zagreb-srebrnjak-novogradnja-luksuzni-stan-liftom-terasom-gar-oglas-38899989,2,1
1677,592.704 €,,,Gornji Grad - Medveščak,U stambenoj zgradi,Jednoetažni,3-sobni,2.,93,https://www.njuskalo.hr/nekretnine/zagreb-centar-meduliceva-novogradnja-trosoban-stan-oglas-38549840,2,
1678,530.000 €,45.807630286221,15.979640424154,Donji Grad,U stambenoj zgradi,Jednoetažni,3-sobni,1.,117,https://www.njuskalo.hr/nekretnine/zagreb-centar-predivan-gradanski-stan-117m2-balkonom-oglas-37769881,1,1
1679,890.000 €,45.818187455309,15.985463352246,Gornji Grad - Medveščak,U stambenoj zgradi,Jednoetažni,4-sobni,2.,213,https://www.njuskalo.hr/nekretnine/zagreb-horvatovac-penthouse-dvije-terase-195m2-oglas-35795023,2,1
1680,330.000 €,45.797741313802,15.981316707289,Donji Grad,U stambenoj zgradi,Jednoetažni,3-sobni,2.,112,https://www.njuskalo.hr/nekretnine/zagreb-centar-novoadaptiran-stan-110m2-posebnog-sarma-top-lokaci-oglas-33488722,1,
1681,69.000 €,45.804405,16.012304,Peščenica - Žitnjak,U stambenoj zgradi,Jednoetažni,2-sobni,Prizemlje,47,https://www.njuskalo.hr/nekretnine/stan-zagreb-donje-svetice-41-m2-oglas-42265668,1,1
1682,141.000 €,,,Peščenica - Žitnjak,U stambenoj zgradi,Jednoetažni,2-sobni,,36,https://www.njuskalo.hr/nekretnine/jednosobni-stan-zagrebu-donje-svetice-oglas-42101873,1,
